Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won
When I Fall In Love,CELINE DION &amp; CLIVE GRIFFIN,7/17/1993,80,23,20,-1,1,0
(It Never Happens) In Real Life,CHUCK JACKSON,4/10/1961,75,46,7,-1,0,0
Little Pedro,THE OLYMPICS,3/13/1961,102,76,6,0,0,0
The Blizzard,JIM REEVES,3/13/1961,107,62,5,31,0,0
The Charanga,MERV GRIFFIN,4/3/1961,107,69,5,-1,0,0
What'd I Say,RAY CHARLES,6/29/1959,113,6,16,58,0,0
Glory Of Love,DON GARDNER &amp; DEE DEE FORD,8/11/1962,99,75,7,-1,0,0
Triangle,JANIE GRANT,3/27/1961,96,29,13,10,0,0
The Next Kiss,CONWAY TWITTY,4/3/1961,99,72,4,-1,0,0
Bonanza,JOHNNY CASH,9/15/1962,94,94,2,31,0,0
Underwater,FROGMEN,4/3/1961,93,44,8,13,0,0
I'll Just Have A Cup Of Coffee (Then I'll Go),CLAUDE GRAY,3/13/1961,119,84,6,1,0,0
Come Along,MAURICE WILLIAMS &amp; THE ZODIACS,4/10/1961,87,83,2,-1,0,0
La Pachanga,AUDREY ARNO &amp; THE HAZY OSTERWALD SEXTET,4/3/1961,114,87,3,-1,0,0
Lullaby Of Love,FRANK GARI,4/10/1961,89,23,12,-1,0,0
A City Girl Stole My Country Boy,PATTI PAGE,4/3/1961,117,90,2,-1,0,0
Mr. Pride,CHUCK JACKSON,4/10/1961,91,91,2,0,0,0
A Scottish Soldier,ANDY STEWART,6/19/1961,83,69,3,13,0,0
I Told You So,KEITH URBAN,5/26/2007,94,48,16,43,0,0
Come On Over,SHANIA TWAIN,10/23/1999,74,58,10,44,0,0
Saved,LaVERN BAKER,4/10/1961,95,37,7,24,0,0
California Sun,RIVIERAS,1/18/1964,123,5,11,35,0,0
Hello Walls,FARON YOUNG,4/10/1961,97,12,15,43,1,0
Three Hearts In A Triangle,ROY DRUSKY,4/10/1961,98,35,16,-1,0,0
Hearts Of Stone,THE BLUE RIDGE RANGERS,3/31/1973,84,37,12,-1,0,0
Ground Hog,BROWNS,4/10/1961,100,97,3,4,0,0
Gidget Goes Hawaiian,DUANE EDDY,4/3/1961,105,101,2,3,0,0
Are You Sure,BETTY LOGAN,9/7/1963,132,132,1,-1,0,0
(Theme From) The Great Imposter,HENRY MANCINI AND HIS ORCHESTRA,3/13/1961,115,90,5,-1,0,0
Little Turtle Dove,OTIS WILLIAMS AND HIS CHARMS,3/6/1961,103,95,6,-1,0,0
Be My Boy,PARIS SISTERS,4/10/1961,105,56,7,5,0,0
Your Goodnight Kiss (Ain't What It Used To Be),GUY MITCHELL,3/20/1961,116,106,4,-1,0,0
Love Or Money,THE BLACKWELLS,4/10/1961,107,107,1,0,0,0
The Water Was Red,JOHNNY CYMBAL,3/27/1961,109,108,3,-1,0,0
You Set My Heart To Music,JOHNNY MATHIS,4/10/1961,109,107,2,2,0,0
Nobody Cares (About Me),JEANETTE (BABY) WASHINGTON,4/10/1961,110,93,5,-1,0,0
African Waltz,JOHNNY DANKWORTH,4/10/1961,111,101,4,4,0,0
Hop Scotch,SANTO &amp; JOHNNY,4/10/1961,112,90,3,-1,0,0
Three Little Fishes,BUZZ CLIFFORD,4/10/1961,113,102,4,1,0,0
"Little Girl, Little Boy",AL MARTINO,3/13/1961,114,109,5,-1,0,0
Pony Train,TITUS TURNER,4/10/1961,115,115,1,0,0,0
Girl Of My Best Friend,RAL DONNER,4/10/1961,116,19,12,12,0,0
Tragedy,FLEETWOODS,4/10/1961,117,10,13,25,0,0
Jenny,JOHNNY MATHIS,4/10/1961,118,118,1,1,0,0
Halfway To Paradise,TONY ORLANDO,4/10/1961,119,39,11,8,0,0
My Kind Of Girl,MATT MONRO,4/10/1961,120,18,21,20,0,0
I'm Telling You Now,FREDDIE AND THE DREAMERS,3/13/1965,71,1,11,25,1,0
Stop! In The Name Of Love,GLEE CAST,11/27/2010,38,38,1,39,0,0
Can't You Hear My Heartbeat,HERMAN'S HERMITS,1/30/1965,85,2,15,33,0,0
Shotgun,JUNIOR WALKER &amp; THE ALL STARS,2/13/1965,80,4,14,-1,2,0
The Birds And The Bees,JEWEL AKENS,1/23/1965,100,3,14,12,0,0
King Of The Road,ROGER MILLER,1/30/1965,63,4,13,54,2,0
Game Of Love,WAYNE FONTANA AND THE MINDBENDERS,3/13/1965,117,1,12,28,1,0
Nowhere To Run,SANTANA,11/27/1982,79,66,8,17,0,0
I Know A Place,PETULA CLARK,3/20/1965,94,3,12,33,0,0
Red Roses For A Blue Lady,WAYNE NEWTON,2/6/1965,127,23,12,17,0,0
Eight Days A Week,BEATLES,2/20/1965,53,1,10,55,0,0
Do You Wanna Dance,LOVE SOCIETY,8/10/1968,118,108,6,-1,0,0
Tired Of Waiting For You,KINKS,3/6/1965,114,6,12,43,0,0
Goldfinger,JACK LaFORGE ORCHESTRA,1/16/1965,119,96,8,-1,0,0
Go Now,MOODY BLUES,2/13/1965,130,10,15,38,1,0
The Race Is On,JACK JONES,2/20/1965,129,15,12,10,0,0
Long Lonely Nights,BOBBY VINTON,3/6/1965,80,17,7,35,0,0
Ferry Cross The Mersey,GERRY AND THE PACEMAKERS,2/6/1965,61,6,11,45,0,0
The Clapping Song,SHIRLEY ELLIS,3/20/1965,75,8,9,38,0,0
Do The Clam,ELVIS PRESLEY,2/27/1965,68,21,8,18,0,0
Send Me The Pillow You Dream On,JOHNNY TILLOTSON,8/11/1962,70,17,9,27,0,0
If I Loved You,CHAD &amp; JEREMY,2/20/1965,77,23,9,-1,0,0
I'll Be Doggone,MARVIN GAYE,3/20/1965,80,8,12,29,0,0
Don't Let Me Be Misunderstood,SANTA ESMERALDA starring LEROY GOMEZ,11/5/1977,91,15,19,-1,0,0
Come And Stay With Me,MARIANNE FAITHFULL,2/27/1965,93,26,9,7,0,0
Bumble Bee,LaVERN BAKER,11/7/1960,111,46,12,32,0,0
My Girl,DYLAN SCOTT,5/13/2017,93,39,20,73,0,0
When I'm Gone,3 DOORS DOWN,11/23/2002,67,4,45,64,0,0
The Last Time,ROLLING STONES,3/27/1965,79,9,10,41,0,0
Got To Get You Off My Mind,SOLOMON BURKE,3/6/1965,91,22,10,38,0,0
Little Things,INDIA.ARIE,9/28/2002,92,89,13,31,0,0
One Kiss For Old Times Sake,RONNIE DOVE,3/13/1965,92,14,11,8,0,0
Cast Your Fate To The Wind,SHELBY FLINT,7/30/1966,134,61,9,9,0,0
Don't Mess Up A Good Thing,FONTELLA BASS &amp; BOBBY McCLURE,2/6/1965,86,33,11,-1,0,0
I'll Never Find Another You,SEEKERS,3/20/1965,135,4,14,47,0,0
If I Ruled The World,NAS,6/22/1996,65,53,20,69,0,0
Peaches'n'Cream,IKETTES,3/13/1965,79,36,8,-1,0,0
I Must Be Seeing Things,GENE PITNEY,2/20/1965,131,31,8,27,0,0
Mr. Pitiful,OTIS REDDING,2/13/1965,124,41,10,41,1,0
Ooo Baby Baby,MIRACLES,3/27/1965,83,16,11,49,0,0
Come See,MAJOR LANCE,2/27/1965,125,40,8,6,0,0
Silhouettes,HERMAN'S HERMITS,4/3/1965,76,5,13,26,0,0
Land Of 1000 Dances,CHRIS KENNER,9/7/1963,121,121,1,17,0,0
Anytime At All,FRANK SINATRA,3/6/1965,123,46,7,-1,0,0
I Understand (Just How You Feel),THE G-CLEFS,9/11/1961,107,9,17,-1,0,0
It's Growing,TEMPTATIONS,4/3/1965,77,18,9,31,0,0
Girl Don't Come,SANDIE SHAW,2/20/1965,134,42,11,29,0,0
She's About A Mover,OTIS CLAY,8/17/1968,123,97,4,-1,0,0
Baby The Rain Must Fall,GLENN YARBROUGH,3/6/1965,135,12,15,21,0,0
I Can't Stop Thinking About You,BOBBI MARTIN,3/6/1965,118,46,9,-1,0,0
For Mama,JERRY VALE,2/27/1965,121,54,7,13,0,0
Crazy Downtown,ALLAN SHERMAN,3/27/1965,90,40,8,2,0,0
10 Little Bottles,JOHNNY BOND,2/27/1965,126,43,10,10,0,0
Just Once In My Life,RIGHTEOUS BROTHERS,4/10/1965,56,9,11,30,0,0
We're Gonna Make It,LITTLE MILTON,3/27/1965,89,25,11,27,0,0
Never Never Leave Me,MARY WELLS,3/6/1965,125,54,8,-1,0,0
Somebody Else Is Taking My Place,AL MARTINO,3/13/1965,118,53,8,-1,0,0
And Roses And Roses,ANDY WILLIAMS,4/3/1965,78,36,7,33,0,0
Count Me In,GARY LEWIS AND THE PLAYBOYS,4/3/1965,88,2,11,33,0,0
It's Gonna Be Alright,GERRY AND THE PACEMAKERS,4/10/1965,63,23,8,19,0,0
Woman's Got Soul,IMPRESSIONS,4/3/1965,79,29,7,20,0,0
The Barracuda,ALVIN CASH,3/27/1965,80,59,7,1,0,0
Poor Man's Son,SURVIVOR,10/17/1981,78,33,14,16,0,0
The Birds Are For The Bees,NEWBEATS,4/3/1965,74,50,7,1,0,0
Not Too Long Ago,UNIQUES,3/13/1965,131,66,7,9,0,0
The Entertainer,BILLY JOEL,11/30/1974,81,34,10,44,1,0
(Here They Come) From All Over The World,JAN AND DEAN,2/27/1965,133,56,7,26,0,0
I Do Love You,GQ,6/30/1979,85,20,17,44,0,0
It's Got The Whole World Shakin',SAM COOKE,4/10/1965,72,41,7,-1,0,0
Truely Truely True,BRENDA LEE,4/3/1965,90,54,6,-1,0,0
Subterranean Homesick Blues,BOB DYLAN,3/27/1965,118,39,9,56,1,0
Whipped Cream,HERB ALPERT AND THE TIJUANA BRASS,2/20/1965,100,68,12,37,0,0
Goodbye My Love,JAMES BROWN,11/9/1968,75,31,7,16,0,0
Let's Do The Freddie,CHUBBY CHECKER,4/3/1965,85,40,9,0,0,0
All Of My Life,LESLEY GORE,3/27/1965,92,71,6,17,0,0
Out In The Streets,SHANGRI-LAS,4/3/1965,96,53,6,23,0,0
Gee Baby (I'm Sorry),THREE DEGREES,3/6/1965,100,80,8,6,0,0
Iko Iko,DIXIE CUPS,4/3/1965,86,20,10,48,2,0
Wooly Bully,SAM THE SHAM AND THE PHARAOHS,3/27/1965,128,2,19,49,2,0
Think Of The Good Times,JAY &amp; THE AMERICANS,3/27/1965,94,57,8,-1,0,0
Toy Soldier,FOUR SEASONS,4/3/1965,117,64,6,-1,0,0
She's Coming Home,ZOMBIES,4/10/1965,85,58,6,13,0,0
Dream On Little Dreamer,PERRY COMO,4/3/1965,130,25,11,22,1,0
The Record (Baby I Love You),BEN E. KING,3/27/1965,120,84,4,0,0,0
You Can Have Him,DIONNE WARWICK,3/13/1965,95,75,8,8,0,0
Apples And Bananas,LAWRENCE WELK,3/13/1965,135,75,8,-1,0,0
It's Not Unusual,GLEE CAST,10/8/2011,65,65,1,43,0,0
"Every Night, Every Day",JIMMY McCRACKLIN,3/27/1965,126,91,5,2,0,0
See You At The Go-Go,DOBIE GRAY,4/3/1965,95,69,7,6,0,0
Why Did I Choose You,BARBRA STREISAND,3/27/1965,130,77,6,12,0,0
Hawaii Honeymoon,WAIKIKIS,3/27/1965,135,91,6,-1,0,0
Don't Let Your Left Hand Know,JOE TEX,4/10/1965,95,95,1,1,0,0
Come Back Baby,RODDIE JOY,3/6/1965,130,86,8,-1,0,0
What Do You Want With Me,CHAD STEWART &amp; JEREMY CLYDE,4/10/1965,97,51,8,-1,0,0
Dear Dad,CHUCK BERRY,4/3/1965,100,95,5,22,0,0
Try To Remember,THE BROTHERS FOUR,10/16/1965,124,91,7,39,0,0
A Woman Can Change A Man,JOE TEX,4/10/1965,100,56,7,2,0,0
I've Got Five Dollars And It's Saturday Night,GEORGE AND GENE (GEORGE JONES &amp; GENE PITNEY),2/27/1965,130,99,9,-1,0,0
Double-O-Seven,DETERGENTS,3/13/1965,124,89,5,-1,0,0
"Baby, Please Don't Go",THEM,3/13/1965,132,102,8,43,0,0
Since I Don't Have You,CHUCK JACKSON,11/14/1964,99,47,8,-1,0,0
The Greatest Story Ever Told,FERRANTE AND TEICHER,2/27/1965,103,101,8,-1,0,0
Nothing Can Stop Me,GENE CHANDLER,4/10/1965,107,18,13,7,0,0
Carmen,BRUCE AND TERRY,3/27/1965,127,107,4,-1,0,0
Now That You've Gone,CONNIE STEVENS,3/20/1965,124,53,12,-1,0,0
Begin To Love,ROBERT GOULET,2/27/1965,119,110,7,10,0,0
This Is It,KENNY LOGGINS,10/20/1979,82,11,23,53,1,0
Losing You,BRENDA LEE,4/6/1963,82,6,13,18,0,0
Goldfinger (Part 1),JIMMY SMITH,3/6/1965,106,106,1,-1,0,0
That'll Be The Day,LINDA RONSTADT,8/21/1976,71,11,16,29,0,0
(Somebody) Ease My Troublin' Mind,SAM COOKE,4/10/1965,115,115,1,27,0,0
True Love Ways,MICKEY GILLEY,8/17/1980,86,66,7,26,0,0
Teasin' You,WILLIE TEE,2/27/1965,109,97,7,11,0,0
"Chim, Chim, Cheree",THE NEW CHRISTY MINSTRELS,3/20/1965,115,115,2,-1,0,0
El Pussycat,MONGO SANTAMARIA,3/6/1965,99,97,8,-1,0,0
Chim Chim Cheree,NEW CHRISTIE MINSTRELS,4/10/1965,118,81,7,-1,0,0
Mexican Pearls,BILLY VAUGHN,3/27/1965,133,94,7,-1,0,0
Super-Cali-Fragil-Istic-Expi-Ali-Docious,JULIE ANDREWS &amp; DICK VAN DYKE,4/3/1965,128,66,8,-1,0,0
Shakin' All Over,THE GUESS WHO,4/10/1965,123,22,15,48,0,0
Tomorrow Night,B.B. KING,11/24/1962,106,106,1,5,0,0
I Need You,LeANN RIMES,5/27/2000,77,11,25,48,0,0
Talk About Love,ADAM FAITH,4/10/1965,126,97,3,0,0,0
Girl On The Billboard,DEL REEVES,5/8/1965,115,96,9,27,0,0
Tommy,REPARATA AND THE DELRONS,4/10/1965,129,92,7,-1,0,0
Good Lovin',OLYMPICS,4/10/1965,130,81,8,12,0,0
Do I Hear A Waltz,EYDIE GORME,4/10/1965,131,122,3,-1,0,0
T.C.B.,DEE CLARK,4/10/1965,132,132,1,1,0,0
"Hush, Hush, Sweet Charlotte",PATTI PAGE,4/10/1965,133,8,16,38,1,0
Cry Me A River,JOE COCKER,10/9/1970,62,11,9,25,0,0
Girl With A Little Tin Heart,THE LETTERMEN,4/10/1965,135,135,1,-1,0,0
Just My Imagination,TEMPTATIONS,2/6/1971,71,1,15,54,0,0
What's Going On,ALL STAR TRIBUTE,10/6/2001,51,27,10,21,0,0
Joy To The World,THREE DOG NIGHT,3/13/1971,58,1,17,58,3,0
She's A Lady,TOM JONES,2/6/1971,60,2,14,48,0,0
For All We Know,DINAH WASHINGTON,9/15/1962,114,108,2,9,0,1
Me & Bobby McGee,JANIS JOPLIN,1/30/1971,94,1,15,65,0,0
Doesn't Somebody Want To Be Wanted,PARTRIDGE FAMILY,2/6/1971,103,6,13,26,0,0
Another Day,PAUL McCARTNEY,3/6/1971,55,5,12,38,2,0
Proud Mary,SONNY CHARLES &amp; CHECKMATES LTD.,10/11/1969,104,69,5,-1,0,0
One Toke Over The Line,BREWER &amp; SHIPLEY,1/30/1971,103,10,16,-1,0,0
Wild World,MR. BIG,10/9/1993,77,27,20,56,0,0
Help Me Make It Through The Night,O.C. SMITH,11/13/1971,93,91,4,-1,0,0
(Where Do I Begin) Love Story,TONY BENNETT,2/13/1971,125,114,5,30,0,0
What Is Life,GEORGE HARRISON,2/27/1971,66,10,9,56,2,0
Never Can Say Goodbye,GLORIA GAYNOR,10/12/1974,110,9,20,31,1,0
Put Your Hand In The Hand,OCEAN,3/6/1971,111,2,15,30,0,0
No Love At All,B.J. THOMAS,2/20/1971,101,16,12,15,0,0
Oye Como Va,SANTANA,2/20/1971,82,13,10,60,0,0
I Am..I Said,NEIL DIAMOND,3/20/1971,101,4,15,46,0,0
Temptation Eyes,GRASS ROOTS,12/18/1970,112,15,19,44,0,0
Love's Lines Angels And Rhymes,5TH DIMENSION,2/27/1971,69,19,10,-1,0,0
Heavy Makes You Happy,STAPLE SINGERS,2/6/1971,97,21,15,19,0,0
Blue Money,VAN MORRISON,2/6/1971,79,23,12,28,0,0
We Can Work It Out / Never Dreamed You'd Leave In Summer,STEVIE WONDER,3/13/1971,67,13,11,-1,0,0
Stay Awhile,DUSTY SPRINGFIELD,3/28/1964,80,38,7,19,0,0
You're All I Need To Get By,JOHNNY MATHIS &amp; DENICE WILLIAMS,7/29/1978,84,47,8,-1,0,0
Eighteen,ALICE COOPER,2/13/1971,103,27,11,55,0,0
If,TIMI YURO,8/22/1964,123,120,3,9,0,0
Soul Power,JAMES BROWN,2/27/1971,84,29,9,29,0,0
I Play And Sing,DAWN,3/20/1971,121,25,9,18,0,0
Cried Like A Baby,BOBBY SHERMAN,2/6/1971,107,16,10,8,0,0
Dream Baby,ROY ORBISON,2/17/1962,77,4,12,40,0,0
Where Did They Go Lord,ELVIS PRESLEY,3/13/1971,60,33,7,21,0,0
One Bad Apple,OSMONDS,1/2/1971,78,1,15,30,0,0
Baby Let Me Kiss You,KING FLOYD,3/13/1971,88,29,11,20,0,0
Amos Moses,JERRY REED,10/9/1970,103,102,2,49,0,0
Free,ULTRA NATE,8/23/1997,92,75,19,54,0,0
Friends,JUSTIN BIEBER + BLOODPOP,9/9/2017,20,20,10,85,0,0
Chick-A-Boom,DADDY DEWDROP,2/20/1971,116,9,18,15,0,0
Power To The People,JOHN LENNON &amp; PLASTIC ONO BAND,4/3/1971,73,11,9,-1,0,0
Timothy,BUOYS,1/23/1971,101,17,20,26,0,0
Don't Change On Me,RAY CHARLES,3/13/1971,75,36,11,-1,0,0
I Love You For All Seasons,THE FUZZ,1/9/1971,109,21,22,40,0,0
I Don't Blame You At All,SMOKEY ROBINSON AND THE MIRACLES,3/20/1971,79,18,12,14,0,0
When There's No You,ENGELBERT HUMPERDINCK,2/27/1971,106,45,8,14,0,0
Do Me Right,DYNASTY,11/30/1980,103,103,2,13,0,0
Woodstock,THE ASSEMBLED MULTITUDE,9/25/1970,103,79,5,2,0,0
Sit Yourself Down,STEPHEN STILLS,3/13/1971,55,37,6,29,0,0
Ask Me No Questions,B.B. KING,2/13/1971,100,40,10,12,0,0
I Won't Mention It Again,RAY PRICE,3/20/1971,72,42,14,20,0,0
Pushbike Song,MIXTURES,3/6/1971,84,44,11,3,0,0
Time And Love,BARBRA STREISAND,3/20/1971,82,51,7,11,0,0
Someone Who Cares,KENNY ROGERS &amp; THE FIRST EDITION,3/20/1971,107,51,8,-1,0,0
Hot Pants,JAMES BROWN,7/3/1971,88,15,11,34,0,0
Tongue In Cheek,SUGARLOAF,2/27/1971,103,55,9,9,0,0
Lucky Man,"EMERSON, LAKE AND PALMER",3/13/1971,92,48,12,53,0,0
Who Gets The Guy,DIONNE WARWICK,3/20/1971,74,57,5,7,0,0
A Man In Black,JOHNNY CASH,3/20/1971,80,58,6,21,0,0
I Think Of You,PERRY COMO,3/20/1971,86,53,8,12,0,0
Snow Blind Friend,STEPPENWOLF,3/6/1971,85,60,7,-1,0,0
Could I Forget You,TYRONE DAVIS,3/13/1971,109,60,8,8,0,0
I Don't Know How To Love Him,YVONNE ELLIMAN,4/17/1971,105,28,11,30,0,0
I Wish I Were Here,ANDY KIM,3/27/1971,99,62,6,-1,0,0
Me And You And A Dog Named Boo,LOBO,4/3/1971,82,5,13,53,0,0
Sweet And Innocent,DONNY OSMOND,3/20/1971,108,7,17,19,0,0
Here Comes The Sun,RICHIE HAVENS,3/6/1971,119,16,16,47,0,0
Me And My Arrow,NILSSON,3/20/1971,100,34,15,37,0,0
Cool Aid,PAUL HUMPHREY,3/13/1971,97,29,16,2,0,0
Toast And Marmalade For Tea,TIN TIN,3/6/1971,106,20,15,-1,0,0
Booty Butt,RAY CHARLES ORCHESTRA,3/13/1971,128,36,13,-1,0,0
13 Questions,SEATRAIN,3/20/1971,115,49,14,-1,0,0
Bad Water,RAELETTS,3/6/1971,113,58,14,-1,0,0
Right On The Tip Of My Tongue,BRENDA AND THE TABULATIONS,3/13/1971,106,23,16,31,0,0
Love Her Madly,DOORS,4/3/1971,103,11,12,66,0,0
Freedom,WHAM,7/27/1985,43,3,18,51,0,0
Give More Power To The People,CHI-LITES,4/10/1971,76,26,11,34,0,0
Layla,ERIC CLAPTON,10/3/1992,79,12,20,69,0,0
C'mon,POCO,3/27/1971,97,69,7,16,0,0
Want Ads,HONEY CONE,4/10/1971,79,1,16,36,0,0
L.A. Goodbye,IDES OF MARCH,3/13/1971,93,73,9,12,0,0
Nickel Song,NEW SEEKERS,3/13/1971,110,81,6,7,0,0
Melting Pot,BOOKER T AND THE MGS,3/13/1971,124,45,13,34,0,0
Love Makes The World Go Round,DEON JACKSON,1/15/1966,132,11,15,31,0,0
The Animal Trainer And The Toad,MOUNTAIN,3/27/1971,100,76,7,13,0,0
Oh Singer,JEANNIE C. RILEY,4/3/1971,96,74,6,2,0,0
Superstar,PAUL DAVIS,8/8/1976,88,35,9,13,0,0
I'm Girl Scoutin',THE INTRUDERS,3/6/1971,118,88,7,-1,0,0
1927 Kansas City,MIKE REILLY,3/13/1971,99,88,7,-1,0,0
Treat Her Like A Lady,JOE,8/5/2000,77,63,17,41,0,0
"You And Your Folks, Me And My Folks",FUNKADELIC,4/3/1971,110,91,4,39,0,0
"Chirpy Chirpy, Cheep Cheep",LALLY STOTT,3/13/1971,104,92,7,-1,0,0
When You Dance I Can Really Love,NEIL YOUNG,3/20/1971,117,93,5,42,0,0
Indian Reservation (The Lament Of the Cherokee Reservation I,THE RAIDERS,3/27/1971,123,1,24,2,0,0
Empty Arms,ACE CANNON,10/24/1964,125,120,3,0,0,0
If It's Real What I Feel,JERRY BUTLER,3/6/1971,72,69,9,2,0,0
Stop In The Name Of Love,THE HOLLIES,6/4/1983,79,29,12,13,0,0
Can't Find The Theme,ROSE COLORED GLASS,4/10/1971,98,54,14,-1,0,0
Take Me Home Country Roads,JOHN DENVER,4/10/1971,99,2,25,72,0,0
I Was Wondering,POPPY FAMILY,3/27/1971,127,100,4,7,0,0
Broken / Albert Flasher,GUESS WHO,4/10/1971,101,29,14,-1,0,0
